trial_number,trend_scale,appearance_cost_weight,short_memory_size,used_frames,used_rows,mean_row_margin,mean_matrix_range,mean_best_cost,mean_diag_margin
25,0.2944573238594561,0.5339412602335253,5,446,892,0.014608043225011254,0.01467435435409417,0.1333726657738508,
43,0.1889039303113877,0.0930517095112044,9,414,828,0.014438525669639147,0.014470465111490615,0.1577826779634997,
38,0.2074108692575422,0.252678725023152,9,427,854,0.01440112962292269,0.01443802613460178,0.14473938731791686,
17,0.47211089056357536,0.9971651010042196,10,427,854,0.014324061742274737,0.014356353835796379,0.011022227175487407,
23,0.23662008369109166,0.40781481378163614,7,427,854,0.01430821431779608,0.014340722715295703,0.133606996456797,
11,0.0010485564611795919,0.9900675403074437,9,427,854,0.014233348443624434,0.014265148127311802,0.009601983162753187,
13,0.0010430466025668713,0.9924014557152974,10,427,854,0.014182143764607198,0.014214342240543998,0.009747673650192676,
12,0.0011017673455495129,0.9810748306129323,10,427,854,0.01402099476701781,0.014052825154295755,0.009648434468751839,
0,0.010253509690168494,0.9507143064099162,10,427,854,0.013614010999005898,0.013644834135506871,0.00979756954596598,
80,0.1556312571167883,0.029052165809268577,12,415,830,0.013500283810193735,0.013552749542661951,0.13730001157190252,
22,0.2092804246471976,0.5381746811573277,5,427,854,0.012875539642307046,0.012903615145900405,0.09537681548361143,
46,0.16787194110039932,0.14719113747689833,10,420,840,0.012873419103847369,0.012914931608852095,0.1322393291467671,
2,0.001434715951720141,0.8661761457749352,8,427,854,0.012554003202015083,0.01258166491441169,0.008459596095801686,
28,0.1408815189220215,0.716815993015772,5,427,854,0.012486531253114613,0.012513898876421037,0.043926939380528114,
8,0.01701841881702917,0.7851759613930136,4,427,854,0.011869872955357554,0.011895625935957468,0.010400709106393428,
15,0.0010689848532759573,0.8218239601795811,12,427,854,0.011637619238486262,0.011665022817224386,0.00841680727309928,
26,0.10918406978441722,0.6402921807636687,7,427,854,0.01149894133598462,0.011520065657029269,0.04248913210896147,
37,0.12344472300449347,0.5116887144933026,11,427,854,0.011407306837654048,0.011427760041183664,0.060219259371552966,
33,0.15656812772210849,0.19264287351071557,8,427,854,0.011322666554765297,0.011351839607426712,0.11824286968331026,
60,0.13206207264429873,0.10045413985921181,12,414,828,0.011215463194604659,0.011254614422809955,0.10888984221012253,
10,0.006923277184805305,0.6843060681479877,11,427,854,0.009851250376029519,0.00987355808192639,0.008805963996755114,
4,0.1764971584817571,0.21233911067827616,4,446,892,0.009768566363812067,0.009802438373723027,0.13290476340808247,
16,0.0052553409544294225,0.6569684707841733,6,427,854,0.009735219160685114,0.009756186082531797,0.007753999618551256,
29,0.05479323423034909,0.5581883679137566,8,427,854,0.009460677499851055,0.009479312603840103,0.027742685426888875,
9,0.02442886696734996,0.5924145688620425,2,427,854,0.009278877806350684,0.009298243516564143,0.014577760449093721,
39,0.02642772194604843,0.585933975263495,8,427,854,0.009081607156576849,0.009100682471605458,0.01574332405004969,
24,0.08805270375324996,0.38155715280909286,8,427,854,0.008909517265049047,0.008924863945846613,0.053896447139775934,
56,0.09742345726796424,0.13924757500591672,11,420,840,0.008180851644195743,0.008206738048010946,0.07788680895238959,
3,0.08148293210105287,0.020584494295802447,12,415,830,0.00717895761299576,0.0072065185009182195,0.072573681021812,
14,0.004140319887638143,0.4635208399848658,9,427,854,0.0067910874775214975,0.0068059528403722645,0.0065508284050334355,
70,0.06987891632520606,0.03337988158740841,12,415,830,0.006202993430769185,0.0062258704456823015,0.06162110669789687,
35,0.05947882123000781,0.1057525167307668,11,427,854,0.0053654505019353335,0.005381647761103138,0.049606367640153214,
119,0.0452045110299267,0.18139658793486801,12,427,854,0.005179240882410038,0.00519178734199455,0.03557741762865756,
6,0.014648955132800727,0.2912291401980419,8,427,854,0.004800532448929035,0.004810179615901441,0.012397952177275158,
5,0.0031261029103110596,0.3042422429595377,7,427,854,0.004546439526383893,0.004556175535685066,0.0048862375007679825,
7,0.002379522116387727,0.29214464853521815,6,427,854,0.004371184041914295,0.004380571341508971,0.004273407209887475,
